Sample,Cluster
FG_001,1
FG_002,1
FG_003,1
FG_004,2
FG_005,0
FG_006,2
FG_007,2
FG_008,2
FG_009,2
FG_010,1
FG_011,2
FG_012,0
FG_013,2
FG_014,2
FG_015,0
FG_016,0
FG_017,1
FG_018,1
FG_019,0
FG_020,0
FG_021,0
FG_022,0
FG_023,0
FG_024,0
FG_025,0
FG_026,0
FG_027,0
FG_028,0
FG_029,0
FG_030,0
FG_031,0
FG_032,0
FG_033,0
FG_034,0
FG_035,0
FG_036,0
FG_037,0
FG_038,2
FG_039,2
FG_040,2
FG_041,0
FG_042,0
FG_043,0
FG_044,2
FG_045,0
FG_046,0
FG_047,1
FG_048,1
FG_049,1
FG_050,1
FG_051,1
FG_052,1
FG_053,1
FG_054,1
FG_055,1
FG_056,1
FG_057,2
FG_058,1
FG_059,1
FG_060,1
